"RA1"	"RA2"	"RA3"	"RA4"	"RA5"	"RA6"	"RA7"	"RA8"	"RA9"	"RA10"	"RA11"	"RA12"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"NCF4"	519.50918155787	415.541290094579	552.865152911181	1094.92027995999	307.127074907161	765.203610522228	1166.3634306846	1237.58691433913	999.415871477006	419.895804490971	949.536108984152	824.385334190151	356.631759466956	538.076436437804	190.550904769085	1068.15137073609	203.945500932064	450.79761341878	494.637370807806	418.180007975208	392.750259755578
"ITGAL"	194.575750129995	99.9195068660691	205.723822588715	93.2045733786627	104.622927594788	170.119140943565	378.691663944261	331.62437316225	268.373346631462	20.834546285381	113.418919473556	212.077924763325	57.6206235038611	68.6194395261709	56.9721444409526	189.912332892383	71.1321140802996	108.690744461963	189.131993164075	188.016487101978	40.5934685744574
"TNFSF10"	3015.47757811425	3380.08440769048	2896.42302275359	2386.33564097934	3620.09016825978	3460.35822873622	3184.8861746193	4148.5856644671	3532.33877447133	2178.52484989826	2854.37458024081	2558.91655030361	1866.14154020027	2294.72051825655	2009.23895016366	1587.34601410672	835.291251835657	1844.63640103396	1762.51330482697	1456.62590827203	1587.65366529431
"ITGB2"	2848.55077687546	1735.89877798058	3702.19951572937	4370.33250197325	2631.80388619235	3815.58242957045	4476.96966028006	5524.33481547999	6001.78637865936	1290.69051931037	3155.68903889897	4939.90839320363	1717.4573778003	2030.11832882896	860.941646049203	2068.75357435876	911.110492968029	2598.11730710621	2252.12963880668	2022.52739469747	3182.77461110976
"RAC2"	2046.03854050229	384.899770307964	2629.48754926554	3495.28757768309	1552.62327612982	2864.34278127618	6312.83657999966	5013.70803457816	3052.46177381928	404.633797838563	1931.25573705581	2672.0284996428	2058.82980374198	578.28866006342	362.62929407605	3671.65108164709	685.635131233894	817.326282717612	1391.42751812898	1124.7427561445	1249.00778856915
"GZMB"	325.679209111572	111.823879703147	262.471676004277	476.87000028703	97.762109839617	471.339453547914	272.102466021241	911.376273489717	540.202726481456	67.4357808078312	297.607703997548	191.536969822707	628.280491203184	82.3346580116147	74.1624607696277	95.2673453725513	419.801096794953	31.7780305306913	36.4473858961086	56.7199237421858	56.3401676706753
"PLCG2"	969.48662362307	1017.38650092432	1183.88640780177	1157.54546341521	676.054502986088	748.483322221143	1398.33492724358	1038.25223832542	1184.57400007513	600.331961912687	1316.73639381556	562.051613512859	504.402340125474	523.081193330997	404.448393338537	374.053361480419	313.563254092395	622.041061776254	405.11065776184	453.45428692603	672.957284829004
"PTPRC"	1284.25377972763	630.928966410225	1489.13306421028	1375.1992090462	605.908954526466	1818.99225459171	3550.49977256874	2573.16518000305	1673.38831490955	876.443912256996	2588.2368659666	1829.67623024173	887.141514413321	517.41192995307	168.590733523858	1765.99744821185	571.492972698981	587.359613192948	812.973963977377	789.645558151935	1141.45187945951
"ZAP70"	115.401125081437	51.653963422787	197.933549919278	265.464222118169	45.595257459711	153.213838873372	437.643451660994	297.985607344296	196.386423116341	54.8997185656276	61.9964086147019	94.2765336378948	144.811983057298	103.749459828793	18.1339751179636	20.3439408595065	51.7839376274464	71.2155808621362	116.602661412596	127.508234715048	38.4101086289196
"CD3E"	762.085227349056	181.891806468195	700.061558214637	761.203053663375	191.555393601846	590.744997319684	1501.21234738169	937.301151396242	345.663975365362	141.722494847467	350.189769633653	315.451694124306	382.356672955079	267.492697540878	257.764808910625	204.858746361077	301.718347324516	174.811565720786	246.348059818477	218.36553970136	172.071010469371
"BLNK"	407.427606140019	587.97414784265	917.37001853822	1276.95755858327	289.732920399075	508.826778245428	1125.72475344596	612.475473308673	1285.07399585521	592.987369170793	993.6288175731	383.951023187451	288.727842651867	508.414854289363	219.301117118954	80.5447092333406	200.750853014033	354.58829332081	473.636841053697	464.32228096153	358.305091028549
"FAS"	316.567442311501	384.293448270322	228.166507033186	262.837638938496	346.278015337519	689.440031133861	645.892363691689	658.674019738527	260.193031437066	325.703180718318	432.691169054056	466.752591973311	320.782749939374	53.5163164648466	214.825158718047	133.403278867894	175.099611603147	140.322281087238	149.466054918493	163.314342168921	229.751929697351
"CD8A"	679.57360844829	325.472696542308	671.617220488959	486.485111924359	149.925450281555	756.334450153634	697.978228782638	1213.06232557382	495.621865004815	190.324134176435	380.554930066272	276.955452689223	552.395055629341	267.423406761232	215.123180307311	66.6277419741763	323.772225801757	125.240065366305	209.764213487773	138.613149407774	35.8426121841541
"PRKCB"	222.706958830103	46.891424417253	233.442443273517	320.03982067762	76.9537850259044	290.400201617572	999.321880331243	449.758697322499	242.443619396118	107.931449360378	274.800885313139	282.871094919914	218.837410437926	89.812077261633	118.339983336417	221.172341173385	72.1634280501745	38.3802531225987	93.4343257143694	98.3957617501021	38.1152751035293
"ITK"	639.903570590593	181.001979705044	581.543397649869	913.255816600991	103.959141758153	876.84984831877	1051.2264322497	933.14788220205	376.114249962209	114.281962759412	387.523311611948	250.622417138226	692.065386052073	145.482105508242	126.64693819865	79.2258378295608	234.430867221259	84.74726346305	151.576976860015	123.863773077659	103.859786279276
"CD48"	1665.63458428523	450.567198863012	1993.12285577016	2317.65340077209	419.360736537059	1872.5685279508	5511.22505638134	3205.52585636573	1507.54263676843	343.23819556645	980.849800584189	1101.10334858786	1098.84023673555	268.114999909652	327.639181486303	842.457358105873	479.524984680152	480.321590207514	855.330964842164	779.513287459587	445.497431972883
"LAT"	97.2170886821555	19.7904354828393	25.5735888106396	177.154566549575	18.4836726439462	42.7544647704454	589.100434652362	228.466337207587	174.700726625281	44.2911028940758	25.8212708520221	37.1800528736997	36.745282664704	54.7402152657419	26.8579124976968	51.317066390037	34.9536968870633	24.0245903029823	49.0896876132468	29.5770895824717	55.540820439606
"RASGRP1"	232.428284309732	67.7752561147186	322.412683381267	670.361853388059	58.5914509107053	364.092841727785	577.509374088467	449.568809932394	503.649509208454	60.6620939275844	356.781748723199	164.953125633463	264.873102734951	50.3713920220019	31.2972023233416	52.7210172497218	128.430739258334	79.2361004155542	102.518796767472	106.333019836939	35.2936959641
"CD3D"	1842.49354755168	305.548843623623	1699.43660732632	2220.17558382026	249.798453707952	1901.53177091955	5237.25286603114	3069.4322542787	692.827752109195	187.519568863888	673.995344207606	636.609915305265	716.09172113987	386.887738444753	125.623533169023	223.4383622979	383.630205408097	317.816345170285	448.561955217267	402.786758939886	225.546524365016
"LCK"	784.807895667492	97.2219150040511	897.793290537841	1095.08331078132	93.7175821936651	623.763584578379	2302.24846056962	1477.32853074683	529.92575718343	33.5910142900178	346.032877333175	148.143647383714	217.80172721797	83.314202555959	33.0347724849308	13.4311305934167	136.931576811522	74.1527090354812	117.704599682108	135.087071345438	78.9818607544025
"SH2D1A"	206.53862215902	74.8394880565454	225.82570379076	285.046740454903	339.576609607836	269.958312583236	510.698980523862	379.352465326905	199.909955409386	36.2413507396917	85.1542866630629	78.4038971354792	41.5946901168039	7.40210810008862	3.80217228540552	7.88205414748497	6.28710217001785	19.5548384635397	18.2903874462738	76.4948554946989	8.0729421494273
"CALD1"	122.885441778416	199.195705482613	139.253644099021	101.679459116635	237.48235797308	163.942089906251	51.7371593841444	133.593676994116	155.144739231115	114.375720207293	77.6282470256598	615.672229516037	479.012866122821	372.321529906312	267.059271364928	142.754431928461	203.74228994655	759.647566026178	605.715662548595	674.039177237164	628.306133690927
"FCGR3B"	612.666737581254	408.969296483143	854.446509295874	939.732846922875	321.397562569347	596.596774164933	370.662504295223	1333.4633062042	791.963670174089	631.71558338038	1149.94178476953	996.870572959661	998.443245147665	945.74647598218	416.144483012803	8499.45318742356	739.947865110936	350.498312502207	556.422276659704	559.809030296683	678.473553394374
"STAT2"	32.0563794936005	17.595365400036	14.5930619626997	10.3221315445289	16.9681135422082	51.0611005182271	57.8976074595512	73.1938731554437	94.6589496707008	37.2802870957985	21.0112693240123	200.995759994695	100.777256088663	69.7809772556897	65.0024095560053	33.5156807790659	36.5687174753912	104.699641766231	148.777071161298	113.710921975664	246.739831925537
"CD28"	44.8548626852308	11.6260215782231	105.572065762675	61.9295499293086	23.1806609767932	91.8577406330263	111.91902592311	72.0100280164093	58.3626534372945	66.0983523858406	88.0010175087835	108.946560537064	126.710029755672	196.610987133879	21.9777440862671	86.8882226150378	35.6125465921162	67.7488074105714	44.0388789220151	92.7566025835367	222.615489486882
"NPR2"	253.572664151825	187.186197795294	156.83230159789	114.497419238755	166.905429909023	146.114672666722	159.031880933626	157.981986885366	146.748514148282	336.34906762712	155.509270071135	225.362496841072	180.160828373376	188.521124284311	243.199008349861	89.543356270044	124.932103310291	365.844032976319	423.091432343664	286.481506372699	400.264285635315
"PRKG1"	6.86633476118458	34.822906595553	16.7877344500653	3.33405651699761	4.93172144699501	3.03674192933974	2.24281815752554	2.84311840914751	3.76689855776981	4.24815466288199	3.87875892645046	55.7455489523166	25.0510624300004	5.25783409978696	2.48931391808447	37.1437549305404	6.46866970152669	9.08727297727119	16.413822699738	3.79467347474701	38.8950147586347
"TYROBP"	2959.39965525226	2568.03807455175	3791.05480197874	3734.14226097575	2047.17678758393	3041.1933510171	3491.37851561928	5568.81992285402	5085.78453644952	3556.92632766775	5696.66445282314	6485.13474485847	2947.9393436392	7337.07802705749	2490.08362693002	6134.15734047687	3024.68727631413	6528.95673495138	6611.68957249915	6111.06805884388	6133.73848770468
"GUCY1A2"	98.0638129370601	14.3510834877827	98.5277933950114	13.259892184038	76.6739284152242	76.342498735338	22.3199683896805	17.4916020834472	58.0353177661866	39.9268457131203	47.466299645787	19.470261891662	139.413084266458	34.1317039659883	43.2337769287452	19.0351085069295	79.1774889713893	120.052132256222	67.8500563017961	24.8482273296014	30.6944037029736
"AGTR1"	883.472255941795	1699.08308442487	346.121329527226	232.852017440176	2335.26299267306	584.075011288507	260.907455475984	321.368911401888	635.363568766529	1283.14496685424	427.622459253611	450.597888078078	709.079755559437	1034.35722818678	3575.87863521632	235.924704537752	731.939051050457	807.170947287181	622.415725526816	371.854964120888	623.639157351932
"PLCB1"	6.36624952359988	37.7156768377211	32.2788206586466	10.2361119250954	2.91470345373594	3.71289704558544	41.9185908298668	2.32092160501993	9.00270128421679	3.60622028898187	2.86213970717022	15.4358293366831	27.5355165895393	4.37230034230656	25.7469563586967	7.50152506289982	8.02325553574425	32.8208644126242	20.8013344325283	11.5874510036837	15.2153132407952
"ACP5"	918.218645761187	1598.55893162574	901.547653336011	1322.36621998866	1294.89886885864	1575.18333369425	1789.82266310623	1658.52911552	1642.92485095566	1030.47520767468	2461.50416943677	1786.22612867955	2169.88589138609	2128.70353343025	672.810575159628	506.901044013176	366.402767650785	3036.71429843922	2541.11515736539	2264.11055482556	2438.94080921662
"MYL9"	1117.84156840526	3499.53575280675	1267.46326072727	887.673683202878	5697.78572610666	1166.86502197432	1116.66634260757	1305.97293232207	1141.12529093109	2203.96371859253	816.510885085765	1279.3187520962	1863.93748300829	1715.81372903125	2206.20004933278	464.607774139957	1324.09666360747	4834.82892016606	2183.86764476518	1746.82919116212	1683.99440062089
"GRB2"	858.501731830018	419.600797948565	706.37897916514	915.238234361405	480.324885356542	698.074452364582	808.21551527754	1008.45984035424	1117.67767980395	384.69201331862	908.264727348674	1353.34905422732	491.172898491638	796.358036921741	431.426733697886	651.937399264361	532.556068549807	1366.36998914989	1087.66670374263	1194.0901353984	1310.49063175155
"RAMP2"	485.16309665413	813.945165505029	404.841217675158	247.632646143261	1517.65165720951	644.937926711582	360.426064475347	345.933176709785	432.737251495843	809.356122146832	196.617773364584	210.569865470008	459.379864808143	492.412997070407	889.285017024391	23.5993429961337	55.7652150193493	986.86720219527	976.543115542854	517.638221008657	579.527805768125
"NCF2"	1244.81685146214	942.939889891186	773.436567794697	1253.51274833736	935.975237027903	1231.65701528595	1517.4998631861	1781.48193693384	2173.07158589134	1309.37842675393	2258.89903018903	2735.24026042822	747.478689629041	1464.8909246171	669.515158028615	3699.25776972418	937.280095691305	1613.89172631764	1456.64364046857	1467.31037413193	1882.10874873645
