"names.deg.","deg","degree_centrality","closeness_centrality","eigenvector_centrality","betweenness_centrality"
"ZC3H11A",10341,10341,2.82342311818849e-05,0.695191402597525,6176.03302469622
"ZEB1",8764,8764,2.70233752195649e-05,0.603890487927107,4936.61251857874
"ZKSCAN1",10969,10969,2.87455444406117e-05,0.737502807366251,5963.79812312045
"ZMIZ1",12489,12489,3.00534952214943e-05,0.812245170448768,10781.8911856657
"ZNF143",16368,16368,3.40008840229846e-05,0.933427648635502,38802.0842573169
"ZNF217",1494,1494,2.20857811740801e-05,0.124945828417726,760.948494750808
"ZNF263",10803,10803,2.85355553019062e-05,0.677157998900338,13517.2290720046
"ZNF274",1099,1099,2.22405088628428e-05,0.142370358763044,854.28631896557
"ZNF384",13620,13620,3.10993624630695e-05,0.830023552486259,24526.7839151572
"ZZZ3",484,484,2.049558320182e-05,0.100989410132525,299.367757381361
"A1BG",34,34,1.9205508742192e-09,0.0221542767227023,0
"A1BG-AS1",33,33,1.9205508742192e-09,0.0217013724619667,0
"A1CF",21,21,1.9205508742192e-09,0.0134801919466556,0
"A2M",48,48,1.9205508742192e-09,0.0307963452128126,0
"AAA1",48,48,1.9205508742192e-09,0.0318318236932397,0
"AAAS",130,130,1.9205508742192e-09,0.0772459434518131,0
"AACS",90,90,1.9205508742192e-09,0.0576790549733427,0
"AADAC",12,12,1.9205508742192e-09,0.00804835457550791,0
"AADAT",76,76,1.9205508742192e-09,0.0485539181840575,0
"AAGAB",134,134,1.9205508742192e-09,0.0794294921367663,0
"AAK1",133,133,1.9205508742192e-09,0.0780308349224117,0
"AAMDC",137,137,1.9205508742192e-09,0.0800879296415609,0
"AAMP",122,122,1.9205508742192e-09,0.0736104828389924,0
"AANAT",99,99,1.9205508742192e-09,0.0626079299223647,0
"AAR2",127,127,1.9205508742192e-09,0.0760393919665686,0
"AARS",121,121,1.9205508742192e-09,0.0734110447782963,0
"AARS2",126,126,1.9205508742192e-09,0.0742708815673795,0
"AARSD1",112,112,1.9205508742192e-09,0.0691629282940072,0
"AASDH",125,125,1.9205508742192e-09,0.075584997662299,0
"AASDHPPT",123,123,1.9205508742192e-09,0.0750712990947732,0
"AASS",70,70,1.9205508742192e-09,0.0452216602386968,0
"AATF",126,126,1.9205508742192e-09,0.0767732102360689,0
"ABAT",77,77,1.9205508742192e-09,0.049515301385663,0
"ABCA1",87,87,1.9205508742192e-09,0.0550717869840425,0
"ABCA11P",116,116,1.9205508742192e-09,0.0709689785760163,0
"ABCA17P",125,125,1.9205508742192e-09,0.0746832022198977,0
"ABCA2",94,94,1.9205508742192e-09,0.0585166975574012,0
"ABCA3",127,127,1.9205508742192e-09,0.0756338416647825,0
"ABCA4",27,27,1.9205508742192e-09,0.0182884823062946,0
"ABCA5",114,114,1.9205508742192e-09,0.0698222084419657,0
"ABCA6",28,28,1.9205508742192e-09,0.017953055745458,0
"ABCA7",123,123,1.9205508742192e-09,0.0737270896356201,0
"ABCA8",45,45,1.9205508742192e-09,0.0307161695544576,0
"ABCB10",135,135,1.9205508742192e-09,0.0784247048739897,0
"ABCB4",94,94,1.9205508742192e-09,0.0567875252492031,0
"ABCB6",127,127,1.9205508742192e-09,0.0767461969145792,0
"ABCB8",139,139,1.9205508742192e-09,0.0780401431309039,0
"ABCC1",101,101,1.9205508742192e-09,0.0638025468684388,0
"ABCC11",49,49,1.9205508742192e-09,0.0295899346427038,0
"ABCC2",66,66,1.9205508742192e-09,0.0404633614817402,0
"ABCC3",78,78,1.9205508742192e-09,0.0495939490416667,0
"ABCC4",114,114,1.9205508742192e-09,0.0709844321962845,0
"ABCC5",122,122,1.9205508742192e-09,0.0739282358135012,0
"ABCD1",104,104,1.9205508742192e-09,0.0637909511812649,0
"ABCD3",127,127,1.9205508742192e-09,0.074973577315283,0
"ABCD4",116,116,1.9205508742192e-09,0.0711051468586504,0
"ABCE1",121,121,1.9205508742192e-09,0.0747755771552758,0
"ABCF2",118,118,1.9205508742192e-09,0.0718110762865725,0
"ABCF3",116,116,1.9205508742192e-09,0.0725994520592106,0
"ABCG1",60,60,1.9205508742192e-09,0.0372728150296629,0
"ABHD1",73,73,1.9205508742192e-09,0.0481955320172491,0
"ABHD10",107,107,1.9205508742192e-09,0.0680031169854043,0
"ABHD11",114,114,1.9205508742192e-09,0.0706309636622038,0
"ABHD11-AS1",90,90,1.9205508742192e-09,0.0588807710393112,0
"ABHD12",115,115,1.9205508742192e-09,0.0716618634992905,0
"ABHD13",124,124,1.9205508742192e-09,0.0747331197314423,0
"ABHD14A",120,120,1.9205508742192e-09,0.0731193616299694,0
"ABHD14A-ACY1",117,117,1.9205508742192e-09,0.0719382379797407,0
"ABHD14B",120,120,1.9205508742192e-09,0.0731193616299694,0
"ABHD17B",132,132,1.9205508742192e-09,0.0776267322239443,0
"ABHD2",126,126,1.9205508742192e-09,0.0751799284720553,0
"ABHD3",117,117,1.9205508742192e-09,0.0699857781963206,0
"ABHD4",100,100,1.9205508742192e-09,0.0636342012323618,0
"ABHD5",127,127,1.9205508742192e-09,0.0756492801358178,0
"ABHD6",92,92,1.9205508742192e-09,0.0596802183451294,0
"ABHD8",105,105,1.9205508742192e-09,0.0652264999096532,0
"ABI1",122,122,1.9205508742192e-09,0.0748238585676724,0
"ABI2",116,116,1.9205508742192e-09,0.0706556550508194,0
"ABL1",106,106,1.9205508742192e-09,0.066014699655487,0
"ABL2",82,82,1.9205508742192e-09,0.0530850071602106,0
"ABLIM1",48,48,1.9205508742192e-09,0.0306997392298778,0
"ABLIM2",84,84,1.9205508742192e-09,0.0547279889283439,0
"ABLIM3",83,83,1.9205508742192e-09,0.0549056788707125,0
"ABT1",139,139,1.9205508742192e-09,0.0793960757876087,0
"ABTB2",124,124,1.9205508742192e-09,0.0748204978598099,0
"ACAA1",125,125,1.9205508742192e-09,0.0743140971343174,0
"ACAA2",111,111,1.9205508742192e-09,0.0700427423543624,0
"ACACA",115,115,1.9205508742192e-09,0.0713840723369883,0
"ACAD10",129,129,1.9205508742192e-09,0.0778641595590559,0
"ACAD11",123,123,1.9205508742192e-09,0.0741577162273867,0
"ACAD8",112,112,1.9205508742192e-09,0.069935130038422,0
"ACAD9",124,124,1.9205508742192e-09,0.0746234764670988,0
"ACADM",124,124,1.9205508742192e-09,0.074500292765231,0
"ACADS",90,90,1.9205508742192e-09,0.05879557663584,0
"ACADSB",117,117,1.9205508742192e-09,0.0725506450247349,0
"ACADVL",114,114,1.9205508742192e-09,0.0699033380731486,0
"ACAP2",125,125,1.9205508742192e-09,0.074591537653381,0
"ACAP3",124,124,1.9205508742192e-09,0.0732507901995115,0
"ACAT1",112,112,1.9205508742192e-09,0.0700181920078844,0
"ACAT2",126,126,1.9205508742192e-09,0.0750330487328951,0
"ACBD3",127,127,1.9205508742192e-09,0.076417802594842,0
"ACBD4",106,106,1.9205508742192e-09,0.0668656179210742,0
"ACBD5",136,136,1.9205508742192e-09,0.0797296873821032,0
"ACBD6",135,135,1.9205508742192e-09,0.0782514265797687,0
"ACBD7",79,79,1.9205508742192e-09,0.0517612824350483,0
"ACCS",119,119,1.9205508742192e-09,0.0725372562920507,0
"ACD",126,126,1.9205508742192e-09,0.0762878774649725,0
"ACE2",29,29,1.9205508742192e-09,0.0190068057102663,0
"ACER2",104,104,1.9205508742192e-09,0.066860685976142,0
"ACER3",97,97,1.9205508742192e-09,0.0630609279700469,0
"ACIN1",117,117,1.9205508742192e-09,0.0712320902872752,0
"ACLY",119,119,1.9205508742192e-09,0.0727288284771895,0
"ACMSD",16,16,1.9205508742192e-09,0.0102125560892988,0
"ACN9",131,131,1.9205508742192e-09,0.077610480388135,0
"ACO1",96,96,1.9205508742192e-09,0.0596830836547958,0
"ACO2",126,126,1.9205508742192e-09,0.0740640496655652,0
"ACOT1",77,77,1.9205508742192e-09,0.0484663069821032,0
"ACOT13",133,133,1.9205508742192e-09,0.0793510010323698,0
"ACOT2",81,81,1.9205508742192e-09,0.0519765661035049,0
"ACOT7",116,116,1.9205508742192e-09,0.0707634976875878,0
"ACOT8",125,125,1.9205508742192e-09,0.0746345658690183,0
"ACOT9",117,117,1.9205508742192e-09,0.06961669181042,0
"ACOX1",137,137,1.9205508742192e-09,0.0793064607233101,0
"ACOX2",45,45,1.9205508742192e-09,0.0288911724467797,0
"ACOX3",117,117,1.9205508742192e-09,0.0722637432791329,0
"ACP1",113,113,1.9205508742192e-09,0.0711447397773923,0
"ACP2",136,136,1.9205508742192e-09,0.079069979781268,0
"ACPT",31,31,1.9205508742192e-09,0.0174707818837899,0
"ACRV1",17,17,1.9205508742192e-09,0.011791547209096,0
"ACSF2",92,92,1.9205508742192e-09,0.0597517631989951,0
"ACSF3",119,119,1.9205508742192e-09,0.0707658598286361,0
"ACSL1",96,96,1.9205508742192e-09,0.0603454279981256,0
"ACSL3",132,132,1.9205508742192e-09,0.076775732898354,0
"ACSL4",93,93,1.9205508742192e-09,0.0602336762034902,0
"ACSL5",75,75,1.9205508742192e-09,0.0462458049133467,0
"ACSM1",42,42,1.9205508742192e-09,0.028686086060724,0
"ACSM3",84,84,1.9205508742192e-09,0.0533795220773422,0
"ACSM4",47,47,1.9205508742192e-09,0.0310655707882751,0
"ACSS1",90,90,1.9205508742192e-09,0.0580544834093175,0
"ACSS2",118,118,1.9205508742192e-09,0.0695776941419014,0
"ACSS3",60,60,1.9205508742192e-09,0.0394737984068488,0
"ACTB",143,143,1.9205508742192e-09,0.0805518979317996,0
"ACTG1",127,127,1.9205508742192e-09,0.075363404298822,0
"ACTL6A",126,126,1.9205508742192e-09,0.0763365841428324,0
"ACTL6B",71,71,1.9205508742192e-09,0.0472339240348283,0
"ACTN1",114,114,1.9205508742192e-09,0.0682349056648009,0
"ACTN3",120,120,1.9205508742192e-09,0.072667004243287,0
"ACTN4",116,116,1.9205508742192e-09,0.070126841454494,0
"ACTR10",108,108,1.9205508742192e-09,0.0669298763522189,0
"ACTR1A",125,125,1.9205508742192e-09,0.0748829227470307,0
"ACTR1B",132,132,1.9205508742192e-09,0.0777403588985553,0
"ACTR2",135,135,1.9205508742192e-09,0.079240246484564,0
"ACTR3",136,136,1.9205508742192e-09,0.079345887543112,0
"ACTR3B",115,115,1.9205508742192e-09,0.0718924488795807,0
"ACTR3C",120,120,1.9205508742192e-09,0.0710913199540555,0
"ACTR5",97,97,1.9205508742192e-09,0.0616850884469808,0
"ACTR6",118,118,1.9205508742192e-09,0.0725025960846675,0
"ACTR8",104,104,1.9205508742192e-09,0.0656128146055583,0
"ACTRT3",89,89,1.9205508742192e-09,0.0558190987063369,0
"ACVR1",96,96,1.9205508742192e-09,0.0616497148036553,0
"ACVR1B",81,81,1.9205508742192e-09,0.0520285058652295,0
"ACVR1C",60,60,1.9205508742192e-09,0.0403244193998863,0
"ACVR2A",99,99,1.9205508742192e-09,0.0627448512710565,0
"ACVRL1",69,69,1.9205508742192e-09,0.0459876586920829,0
"ACY1",126,126,1.9205508742192e-09,0.0749096432453638,0
"ACYP1",100,100,1.9205508742192e-09,0.0630195724130641,0
"ACYP2",120,120,1.9205508742192e-09,0.0744723929368197,0
"ADAL",119,119,1.9205508742192e-09,0.0727657923544624,0
"ADAM10",119,119,1.9205508742192e-09,0.0738837266947893,0
"ADAM17",132,132,1.9205508742192e-09,0.0774921617407033,0
"ADAM19",82,82,1.9205508742192e-09,0.0540053713532421,0
"ADAM22",100,100,1.9205508742192e-09,0.0636774475466214,0
"ADAM28",49,49,1.9205508742192e-09,0.032294607942184,0
"ADAM9",121,121,1.9205508742192e-09,0.0750449837598113,0
"ADAMTS16",43,43,1.9205508742192e-09,0.0289231530080747,0
"ADAMTS3",101,101,1.9205508742192e-09,0.0628886082642264,0
"ADAMTS4",77,77,1.9205508742192e-09,0.0488872139472342,0
"ADAMTS6",108,108,1.9205508742192e-09,0.0664289033406494,0
"ADAMTSL5",91,91,1.9205508742192e-09,0.0564595554544293,0
"ADAP1",72,72,1.9205508742192e-09,0.0474595752067961,0
"ADAR",120,120,1.9205508742192e-09,0.0724470626486612,0
"ADARB1",117,117,1.9205508742192e-09,0.0688169363638363,0
"ADAT1",123,123,1.9205508742192e-09,0.0750548510802066,0
"ADAT2",139,139,1.9205508742192e-09,0.0794954877689398,0
"ADAT3",128,128,1.9205508742192e-09,0.075617166095702,0
"ADCK1",112,112,1.9205508742192e-09,0.069605774756602,0
"ADCK3",133,133,1.9205508742192e-09,0.0790703202357298,0
"ADCK4",136,136,1.9205508742192e-09,0.0782006224861853,0
"ADCK5",132,132,1.9205508742192e-09,0.0784754829226405,0
"ADCY10",53,53,1.9205508742192e-09,0.0346509358481472,0
"ADCY4",80,80,1.9205508742192e-09,0.0530524039134666,0
"ADCY6",68,68,1.9205508742192e-09,0.0443411104858324,0
"ADCY9",67,67,1.9205508742192e-09,0.0449581543852587,0
"ADD1",119,119,1.9205508742192e-09,0.0704595000418726,0
"ADD3",88,88,1.9205508742192e-09,0.0558172546689613,0
"ADH4",32,32,1.9205508742192e-09,0.0206126779957036,0
"ADH5",114,114,1.9205508742192e-09,0.0714502173164162,0
"ADH6",31,31,1.9205508742192e-09,0.0201639325127791,0
"ADHFE1",98,98,1.9205508742192e-09,0.0628912879497011,0
"ADI1",123,123,1.9205508742192e-09,0.074752688135156,0
"ADIPOR1",119,119,1.9205508742192e-09,0.0711406149131233,0
"ADIPOR2",119,119,1.9205508742192e-09,0.0730988732602653,0
"ADIRF",79,79,1.9205508742192e-09,0.0519444764328409,0
"ADK",134,134,1.9205508742192e-09,0.0788543978238704,0
"ADM",110,110,1.9205508742192e-09,0.0654438838466182,0
"ADNP",146,146,1.9205508742192e-09,0.0817302415801581,0
"ADNP2",99,99,1.9205508742192e-09,0.0626978932757782,0
"ADO",122,122,1.9205508742192e-09,0.0750578028365988,0
"ADPGK",133,133,1.9205508742192e-09,0.0791393358578963,0
"ADPRHL2",127,127,1.9205508742192e-09,0.0758502339767499,0
"ADPRM",119,119,1.9205508742192e-09,0.0734416485965644,0
"ADRA1B",50,50,1.9205508742192e-09,0.0333507152886125,0
"ADRA1D",61,61,1.9205508742192e-09,0.0409275225262548,0
"ADRA2B",79,79,1.9205508742192e-09,0.0514254988152898,0
"ADRBK1",101,101,1.9205508742192e-09,0.0634651599487072,0
"ADRM1",137,137,1.9205508742192e-09,0.0788031368915697,0
"ADSL",121,121,1.9205508742192e-09,0.0731756177291826,0
